category,Users,Volume,Transactions
1552521600000,183,183,183
1552435200000,171,171,171
1552348800000,170,170,170
1552262400000,182,182,182
1552176000000,180,180,180
1552089600000,174,174,174
1552003200000,176,176,176
1551916800000,187,187,187
1551830400000,165,165,165
1551744000000,181,181,181
1551657600000,178,178,178
1551571200000,159,159,159
1551484800000,150,150,150
1551398400000,172,172,172
1551312000000,172,172,172
1551225600000,176,176,176
1551139200000,152,152,152
1551052800000,141,141,141
1550966400000,148,148,148
1550880000000,165,165,165
1550793600000,155,155,155
1550707200000,147,147,147
1550620800000,152,152,152
1550534400000,162,162,162
1550448000000,168,168,168
1550361600000,173,173,173
1550275200000,159,159,159
1550188800000,170,170,170
1550102400000,183,183,183
1550016000000,186,186,186
1549929600000,203,203,203
1549843200000,190,190,190
1549756800000,195,195,195
1549670400000,189,189,189
1549584000000,207,207,207
1549497600000,211,211,211
1549411200000,244,244,244
1549324800000,240,240,240
1549238400000,230,230,230
1549152000000,210,210,210
1549065600000,229,229,229
1548979200000,237,237,237
1548892800000,226,226,226
1548806400000,241,241,241
1548720000000,268,268,268
1548633600000,262,262,262
1548547200000,228,228,228
1548460800000,240,240,240
1548374400000,204,204,204
1548288000000,256,256,256
1548201600000,263,263,263
1548115200000,316,316,316
1548028800000,145,145,145
1547942400000,136,136,136
1547856000000,141,141,141
1547769600000,125,125,125
1547683200000,130,130,130
1547596800000,143,143,143
1547510400000,145,145,145
1547424000000,142,142,142
1547337600000,151,151,151
1547251200000,136,136,136
1547164800000,132,132,132
1547078400000,147,147,147
1546992000000,151,151,151
1546905600000,140,140,140
1546819200000,150,150,150
1546732800000,150,150,150
1546646400000,132,132,132
1546560000000,160,160,160
1546473600000,150,150,150
1546387200000,161,161,161
1546300800000,144,144,144
1546214400000,132,132,132
1546128000000,137,137,137
1546041600000,144,144,144
1545955200000,176,176,176
1545868800000,178,178,178
1545782400000,151,151,151
1545696000000,144,144,144
1545609600000,156,156,156
1545523200000,156,156,156
1545436800000,175,175,175
1545350400000,124,124,124
1545264000000,160,160,160
1545177600000,166,166,166
1545091200000,154,154,154
1545004800000,125,125,125
1544918400000,157,157,157
1544832000000,150,150,150
1544745600000,128,128,128
1544659200000,164,164,164
1544572800000,158,158,158
1544486400000,144,144,144
1544400000000,165,165,165
1544313600000,169,169,169
1544227200000,160,160,160
1544140800000,158,158,158
1544054400000,167,167,167
1543968000000,145,145,145
1543881600000,173,173,173
